	Respondent	MainBranch	Hobbyist	Age	Age1stCode	CompFreq	CompTotal	ConvertedComp	Country	CurrencyDesc	CurrencySymbol	DatabaseDesireNextYear	DatabaseWorkedWith	DevType	EdLevel	Employment	Ethnicity	Gender	JobFactors	JobSat	JobSeek	LanguageDesireNextYear	LanguageWorkedWith	MiscTechDesireNextYear	MiscTechWorkedWith	NEWCollabToolsDesireNextYear	NEWCollabToolsWorkedWith	NEWDevOps	NEWDevOpsImpt	NEWEdImpt	NEWJobHunt	NEWJobHuntResearch	NEWLearn	NEWOffTopic	NEWOnboardGood	NEWOtherComms	NEWOvertime	NEWPurchaseResearch	NEWPurpleLink	NEWSOSites	NEWStuck	OpSys	OrgSize	PlatformDesireNextYear	PlatformWorkedWith	PurchaseWhat	Sexuality	SOAccount	SOComm	SOPartFreq	SOVisitFreq	SurveyEase	SurveyLength	Trans	UndergradMajor	WebframeDesireNextYear	WebframeWorkedWith	WelcomeChange	WorkWeekHrs	YearsCode	YearsCodePro
171	173	I am a developer by profession	Yes	26.0	13	Monthly			Nepal	Nepalese rupee	NPR	Elasticsearch;MongoDB;Redis	Microsoft SQL Server	Academic researcher;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	Southeast Asian	Man	Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Python	C#;HTML/CSS;JavaScript;PHP;SQL	Flutter;Node.js	.NET;.NET Core		Github;Gitlab	No	Somewhat important	Somewhat important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Growth or leadership opportunities	Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company		No	Onboarding? What onboarding?	No	Often: 1-2 days per week or more	Start a free trial;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Visit another developer community (please name):	Windows	Just me - I am a freelancer, sole proprietor, etc.	Docker;Kubernetes	Windows		Straight / Heterosexual	Yes	Yes, somewhat	Multiple times per day	Multiple times per day	Easy	Too long	No	Computer science, computer engineering, or software engineering	Angular;React.js	ASP.NET;ASP.NET Core;jQuery;Laravel;Vue.js	Just as welcome now as I felt last year	60.0	7.0	5
273	275	I am a developer by profession	No		18				Nepal			Firebase;MongoDB;Oracle	MySQL	Academic researcher;Developer, back-end;Developer, desktop or enterprise applications	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Not employed, but looking for work		Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development		I am actively looking for a job	JavaScript;Python	Java	Flutter;Node.js;React Native	Node.js	Github	Github;Trello;Google Suite (Docs, Meet, etc)			Somewhat important	Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Every few months	Not sure		No		Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Windows		AWS;Docker;Google Cloud Platform;Kubernetes;Linux	Android;Linux;Windows			Yes	Yes, definitely	A few times per week	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular.js;Express;Spring;Vue.js	Spring;Vue.js	Somewhat more welcome now than last year		6.0	
621	623	I code primarily as a hobby	Yes	18.0	12				Nepal				Microsoft SQL Server		Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Student	South Asian	Man				JavaScript;Python;R;Ruby;Rust	C#;C++;HTML/CSS	.NET Core	.NET;Unity 3D;Xamarin	Github	Github						Once a year	Yes		No		Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	Windows		Android;Windows	Android;Windows		Straight / Heterosexual	Yes	Neutral	I have never participated in Q&A on Stack Overflow	A few times per week	Easy	Appropriate in length	No		ASP.NET;ASP.NET Core;jQuery;Laravel;React.js;Ruby on Rails		Somewhat less welcome now than last year		3.0	
805	807	I am a developer by profession	Yes	34.0	26	Monthly	50000.0	5256.0	Nepal	Nepalese rupee	NPR		MongoDB	Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Product manager	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	East Asian	Man	Flex time or a flexible schedule;Remote work options;Opportunities for professional development	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Python;Swift	JavaScript;Ruby	Node.js;React Native;TensorFlow	Node.js	Github;Gitlab;Slack	Jira;Github;Gitlab;Slack;Trello	No	Extremely important	Somewhat important	Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Every few months	Not sure	No	No	Never		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Call a coworker or friend;Visit Stack Overflow;Do other work and come back later	Linux-based	2 to 9 employees	Android;Docker;iOS;Kubernetes	Heroku;Linux;MacOS;Windows	I have little or no influence	Straight / Heterosexual	Yes	Yes, definitely	Daily or almost daily	Multiple times per day	Easy	Appropriate in length	No	A business discipline (such as accounting, finance, marketing, etc.)	Django;Flask	Express;React.js;Ruby on Rails;Vue.js	Just as welcome now as I felt last year	9.0	10.0	10
1349	1355	I am a developer by profession	Yes	26.0	15	Monthly	50000.0	5256.0	Nepal	Nepalese rupee	NPR	Firebase;MongoDB;PostgreSQL;Redis	MongoDB;MySQL	Data scientist or machine learning specialist;Developer, back-end;Developer, full-stack;DevOps specialist;Product manager;System administrator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Industry that I’d be working in;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;JavaScript;Python	Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python	Flutter;Node.js;Pandas;TensorFlow;Torch/PyTorch	Node.js;Pandas;Torch/PyTorch	Github;Gitlab;Facebook Workplace;Google Suite (Docs, Meet, etc)	Github;Gitlab;Facebook Workplace;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Fairly important	Wanting to share accomplishments with a wider network;Better compensation;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Once a year	No	No	Yes	Occasionally: 1-2 days per quarter but less than monthly	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations)	Meditate;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Linux-based	10 to 19 employees	AWS;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi	AWS;Google Cloud Platform;Linux;MacOS;Raspberry Pi	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	A few times per month or weekly	Daily or almost daily	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Django;Express;Vue.js	Django;Express;Vue.js	Just as welcome now as I felt last year	45.0	10.0	4
1813	1822	I am a developer by profession	No		17	Monthly	180000.0	18912.0	Nepal	Nepalese rupee	NPR	Oracle	Cassandra;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite	Developer, back-end;Developer, desktop or enterprise applications	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Family friendliness	Slightly dissatisfied	I’m not actively looking, but I am open to new opportunities	Scala	Bash/Shell/PowerShell;Java;Kotlin;SQL		Apache Spark;Hadoop	Microsoft Azure	Gitlab;Microsoft Teams	No	Not very important	Critically important	Just because;Curious about other opportunities;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Once a decade	Yes	No	No	Occasionally: 1-2 days per quarter but less than monthly	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Do other work and come back later	Linux-based	20 to 99 employees		Docker;Linux;Windows	I have a great deal of influence	Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	A few times per week	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	jQuery	Spring	Somewhat more welcome now than last year	40.0	15.0	10
5368	5388	I am a student who is learning to code	Yes	21.0	20				Nepal			MongoDB;Oracle;PostgreSQL	MySQL		Some college/university study without earning a degree	Student	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options		I’m not actively looking, but I am open to new opportunities		HTML/CSS;Java;JavaScript;Python	React Native		Github;Slack	Github;Google Suite (Docs, Meet, etc)						Every few months	Yes		Yes		Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Visit another developer community (please name):	Windows		Android;AWS;Docker;Heroku;Linux;WordPress	Windows		Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	A few times per month or weekly	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Django;Express;React.js	Django;Express;React.js	Somewhat more welcome now than last year		0.5	
5471	5492	I am a student who is learning to code	Yes		19				Nepal				MySQL		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student	East Asian				I am actively looking for a job		C;HTML/CSS;JavaScript;Python				Github						Every few months			Yes		Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit		I have never visited any of these sites	Play games	Windows											Too short		Computer science, computer engineering, or software engineering					0.5	
5766	5790	I am a developer by profession	Yes	30.0	18	Monthly	125000.0	13128.0	Nepal	Nepalese rupee	NPR	MariaDB;Microsoft SQL Server;MongoDB	Microsoft SQL Server	Developer, back-end;Developer, full-stack	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Employed full-time	South Asian	Man	Flex time or a flexible schedule;Remote work options;Opportunities for professional development	Very dissatisfied	I’m not actively looking, but I am open to new opportunities		C;JavaScript;SQL	.NET;.NET Core	.NET;.NET Core	Github;Slack;Microsoft Azure	Github;Microsoft Azure	Yes	Extremely important	Fairly important	Better compensation	Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company	Every few months	No	No	Yes	Sometimes: 1-2 days per month but less than weekly	Start a free trial;Ask developers I know/work with	Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Windows	20 to 99 employees	Docker;Google Cloud Platform;Microsoft Azure;Windows	Docker;Microsoft Azure;Windows	I have some influence	Straight / Heterosexual	Yes	Yes, definitely	Daily or almost daily	Daily or almost daily	Neither easy nor difficult	Appropriate in length	No	Information systems, information technology, or system administration	ASP.NET;ASP.NET Core;jQuery	ASP.NET;ASP.NET Core;jQuery	Just as welcome now as I felt last year	40.0	14.0	10
5769	5793	I am a student who is learning to code	Yes	25.0	15				Nepal			DynamoDB;Firebase;MongoDB;MySQL;PostgreSQL	MySQL;PostgreSQL;SQLite	Developer, back-end	Some college/university study without earning a degree	Not employed, but looking for work	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development		I am actively looking for a job	Python;SQL;TypeScript	JavaScript;Python;SQL			Jira;Github;Gitlab;Slack	Github;Gitlab;Slack						Once every few years	Yes		Yes		Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit	Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	MacOS		AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;Kubernetes;Linux;MacOS;Microsoft Azure	AWS;MacOS		Straight / Heterosexual	No	Yes, definitely		A few times per week	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Django;Gatsby;React.js	Django;React.js	A lot more welcome now than last year		11.0	
