S.N.,Stock Symbol,Closing Price Average,Total Traded Amount,Total Traded Shares,Weighted Average,Closing Price,Closing Date,Unnamed: 8,Unnamed: 9
1,ACLBSL,1041.26,651811527,519309,1255.15,1680.00,2021-02-11,,
2,ADBL,461.43,4119158615,8594687,479.27,451.00,2021-02-11,,
3,AHPC,212.17,4272471087,19065272,224.10,291.00,2021-02-11,,
4,AIL,594.96,2214516230,3537403,626.03,764.00,2021-02-11,,
5,AKBSLP,256.00,5235200,20450,256.00,256.00,2021-02-11,,
6,AKJCL,113.25,197582200,1602182,123.32,138.00,2021-02-11,,
7,AKPL,243.30,7331064076,28703978,255.40,336.00,2021-02-11,,
8,ALBSL,987.59,998636302,941691,1060.47,1485.00,2021-02-11,,
9,ALICL,862.18,6093290594,6639519,917.73,1311.00,2021-02-11,,
10,ALICLP,384.29,185582976,609014,304.73,380.00,2021-02-11,,
11,API,219.78,4850663048,21027406,230.68,282.00,2021-02-11,,
12,BARUN,178.01,745570671,3947066,188.89,243.00,2021-02-11,,
13,BBC,2360.57,360038060,123794,2908.36,2880.00,2021-02-11,,
14,BFC,135.41,426148891,2909685,146.46,162.00,2021-02-11,,
15,BFCPO,100.33,1150700,11502,100.04,101.00,2021-02-11,,
16,BNT,7928.69,329038924,36186,9092.99,9099.00,2021-02-11,,
17,BOKL,267.70,3914194000,14053780,278.52,318.00,2021-02-11,,
18,BOKLPO,147.00,59556250,416282,143.07,147.00,2021-02-11,,
19,BPCL,410.97,2782017832,6576877,423.00,407.00,2021-02-11,,
20,CBBL,1242.30,5011028920,3700099,1354.30,1542.00,2021-02-11,,
Page 1/7 1234567,Page 1/7 1234567,Page 1/7 1234567,Page 1/7 1234567,Page 1/7 1234567,Page 1/7 1234567,Page 1/7 1234567,,,
